14,1.06,0.52,0.02,-0.48,0.52,0.52,0.52,-0.48
28,0.56,1.02,0.02,-0.48,0.52,0.52,1.02,-0.98
42,0.56,1.02,-0.48,-0.98,0.52,0.52,1.02,-0.98
56,0.56,1.02,-0.98,-1.48,0.52,0.52,1.02,-1.48
70,0.06,1.52,-0.98,-1.98,0.52,0.52,1.02,-0.98
84,0.06,1.52,-1.48,-1.98,0.52,0.52,1.02,-1.48
98,-0.44,2.02,-1.48,-1.98,0.52,0.52,1.02,-1.48
112,-0.44,2.02,-1.48,-1.98,0.02,0.52,1.52,-1.98
126,-0.44,2.02,-1.48,-2.48,0.02,0.52,1.52,-1.98
140,-0.44,2.52,-1.48,-2.48,0.02,0.52,1.02,-2.48
154,-0.44,2.52,-1.48,-2.48,0.02,1.02,1.02,-2.48
168,-0.44,2.52,-1.98,-2.48,0.52,1.52,1.02,-2.48
182,-0.44,3.02,-1.98,-2.48,0.02,1.52,1.02,-2.48
196,-0.44,3.02,-1.98,-2.48,0.02,1.52,1.02,-2.48
