14,1.16,0.32,0.12,-0.08,0.12,0.32,0.52,-0.08
28,0.96,0.32,0.12,-0.28,0.32,0.52,0.52,-0.28
42,0.76,0.52,-0.08,-0.28,0.52,0.52,0.52,-0.48
56,0.76,0.52,-0.28,-0.48,0.52,0.52,0.52,-0.68
70,0.56,0.72,-0.28,-0.68,0.52,0.52,0.52,-0.48
84,0.36,0.92,-0.28,-0.68,0.52,0.52,0.52,-0.48
98,0.36,0.92,-0.48,-0.88,0.32,0.52,0.52,-0.28
112,0.36,0.92,-0.68,-0.88,0.32,0.52,0.52,-0.48
126,0.16,1.12,-0.68,-0.88,0.32,0.52,0.52,-0.48
140,0.16,1.12,-0.48,-0.88,0.32,0.52,0.52,-0.68
154,0.16,1.12,-0.48,-0.88,0.32,0.52,0.52,-0.68
